"Hour...1","Casual_1","Member_1","Hour...4","Casual_2","Member_2","Hour...7","Casual_3","Member_3","Hour...10","Casual_4","Member_4","Hour...13","Casual_5","Member_5"
0,7,35,0,20,66,0,22,90,0,8,61,0,15,63
1,5,20,1,12,35,1,14,49,1,5,29,1,10,33
2,5,14,2,10,23,2,9,32,2,4,17,2,7,21
3,4,7,3,6,12,3,6,16,3,3,8,3,5,11
4,2,9,4,3,16,4,3,20,4,2,12,4,3,14
5,2,49,5,5,75,5,4,82,5,2,61,5,4,67
6,3,141,6,11,243,6,9,265,6,4,182,6,7,208
7,7,330,7,23,563,7,22,610,7,10,449,7,16,489
8,16,582,8,45,915,8,45,962,8,21,786,8,32,812
9,21,345,9,66,545,9,65,559,9,27,451,9,45,476
10,32,218,10,94,380,10,89,406,10,39,288,10,64,323
11,46,243,11,121,428,11,106,443,11,51,315,11,81,358
12,55,288,12,135,494,12,117,503,12,60,372,12,92,415
13,62,284,13,144,490,13,118,491,13,64,369,13,97,409
14,71,277,14,156,466,14,123,473,14,67,364,14,105,395
15,76,325,15,159,537,15,125,540,15,70,427,15,108,458
16,77,437,16,162,685,16,126,711,16,66,554,16,108,597
17,73,652,17,177,1066,17,142,1085,17,61,774,17,113,895
18,49,508,18,155,871,18,130,917,18,43,610,18,95,727
19,32,312,19,121,592,19,110,650,19,26,381,19,73,484
20,20,197,20,86,416,20,83,454,20,20,252,20,53,330
21,16,140,21,62,283,21,65,331,21,15,187,21,40,236
22,14,97,22,48,207,22,51,243,22,14,133,22,32,170
23,9,60,23,30,127,23,35,157,23,11,97,23,22,110
